"tax_id","parent_id","rank","tax_name","root","below_root","superkingdom","below_superkingdom","below_below_superkingdom","below_below_below_superkingdom","phylum","below_phylum","subphylum","class","subclass","below_subclass","order","below_order","family","genus","below_genus","species","below_species","below_below_species"
"1","1","root","root","1","","","","","","","","","","","","","","","","","","",""
"131567","1","below_root","cellular organisms","1","131567","","","","","","","","","","","","","","","","","",""
"2759","131567","superkingdom","Eukaryota","1","131567","2759","","","","","","","","","","","","","","","","",""
"33630","2759","below_superkingdom","Alveolata","1","131567","2759","33630","","","","","","","","","","","","","","","",""
"61964","2759","below_superkingdom","environmental samples","1","131567","2759","61964","","","","","","","","","","","","","","","",""
"5878","33630","below_below_superkingdom","Ciliophora","1","131567","2759","33630","5878","","","","","","","","","","","","","","",""
"27997","33630","below_below_superkingdom","Perkinsea","1","131567","2759","33630","27997","","","","","","","","","","","","","","",""
"187298","5878","below_below_below_superkingdom","environmental samples","1","131567","2759","33630","5878","187298","","","","","","","","","","","","","",""
"5794","33630","phylum","Apicomplexa","1","131567","2759","33630","","","5794","","","","","","","","","","","","",""
"877183","33630","phylum","Chromerida","1","131567","2759","33630","","","877183","","","","","","","","","","","","",""
"1280412","5794","below_phylum","Conoidasida","1","131567","2759","33630","","","5794","1280412","","","","","","","","","","","",""
"431838","5878","subphylum","Intramacronucleata","1","131567","2759","33630","5878","","","","431838","","","","","","","","","","",""
"431837","5878","subphylum","Postciliodesmatophora","1","131567","2759","33630","5878","","","","431837","","","","","","","","","","",""
"5977","431838","class","Colpodea","1","131567","2759","33630","5878","","","","431838","5977","","","","","","","","","",""
"2864","33630","class","Dinophyceae","1","131567","2759","33630","","","","","","2864","","","","","","","","","",""
"35086","1280412","class","Gregarinasina","1","131567","2759","33630","","","5794","1280412","","35086","","","","","","","","","",""
"194287","431837","class","Heterotrichea","1","131567","2759","33630","5878","","","","431837","194287","","","","","","","","","",""
"5988","431838","class","Litostomatea","1","131567","2759","33630","5878","","","","431838","5988","","","","","","","","","",""
"6020","431838","class","Oligohymenophorea","1","131567","2759","33630","5878","","","","431838","6020","","","","","","","","","",""
"6000","431838","class","Prostomatea","1","131567","2759","33630","5878","","","","431838","6000","","","","","","","","","",""
"33829","431838","class","Spirotrichea","1","131567","2759","33630","5878","","","","431838","33829","","","","","","","","","",""
"141411","33829","subclass","Choreotrichia","1","131567","2759","33630","5878","","","","431838","33829","141411","","","","","","","","",""
"197905","5988","subclass","Haptoria","1","131567","2759","33630","5878","","","","431838","5988","197905","","","","","","","","",""
"5934","33829","subclass","Hypotrichia","1","131567","2759","33630","5878","","","","431838","33829","5934","","","","","","","","",""
"211030","33829","subclass","Oligotrichia","1","131567","2759","33630","5878","","","","431838","33829","211030","","","","","","","","",""
"194288","33829","subclass","Protocruziidia","1","131567","2759","33630","5878","","","","431838","33829","194288","","","","","","","","",""
"35094","6020","subclass","Scuticociliatia","1","131567","2759","33630","5878","","","","431838","6020","35094","","","","","","","","",""
"194286","33829","subclass","Stichotrichia","1","131567","2759","33630","5878","","","","431838","33829","194286","","","","","","","","",""
"333946","35094","below_subclass","unclassified Scuticociliatia","1","131567","2759","33630","5878","","","","431838","6020","35094","333946","","","","","","","",""
"200605","141411","order","Choreotrichida","1","131567","2759","33630","5878","","","","431838","33829","141411","","200605","","","","","","",""
"197907","197905","order","Cyclotrichida","1","131567","2759","33630","5878","","","","431838","5988","197905","","197907","","","","","","",""
"88560","5977","order","Cyrtolophosidida","1","131567","2759","33630","5878","","","","431838","5977","","","88560","","","","","","",""
"447211","2864","order","Dinophysiales","1","131567","2759","33630","","","","","","2864","","","447211","","","","","","",""
"35087","35086","order","Eugregarinorida","1","131567","2759","33630","","","5794","1280412","","35086","","","35087","","","","","","",""
"33831","5934","order","Euplotida","1","131567","2759","33630","5878","","","","431838","33829","5934","","33831","","","","","","",""
"40984","2864","order","Gonyaulacales","1","131567","2759","33630","","","","","","2864","","","40984","","","","","","",""
"2953","2864","order","Gymnodiniales","1","131567","2759","33630","","","","","","2864","","","2953","","","","","","",""
"5957","194287","order","Heterotrichida","1","131567","2759","33630","5878","","","","431837","194287","","","5957","","","","","","",""
"31277","6020","order","Hymenostomatida","1","131567","2759","33630","5878","","","","431838","6020","","","31277","","","","","","",""
"2964","2864","order","Noctilucales","1","131567","2759","33630","","","","","","2864","","","2964","","","","","","",""
"1239064","2864","order","Oxyrrhinales","1","131567","2759","33630","","","","","","2864","","","1239064","","","","","","",""
"2910","2864","order","Peridiniales","1","131567","2759","33630","","","","","","2864","","","2910","","","","","","",""
"27998","27997","order","Perkinsida","1","131567","2759","33630","27997","","","","","","","","27998","","","","","","",""
"198613","35094","order","Philasterida","1","131567","2759","33630","5878","","","","431838","6020","35094","","198613","","","","","","",""
"197906","197905","order","Pleurostomatida","1","131567","2759","33630","5878","","","","431838","5988","197905","","197906","","","","","","",""
"2942","2864","order","Prorocentrales","1","131567","2759","33630","","","","","","2864","","","2942","","","","","","",""
"6001","6000","order","Prorodontida","1","131567","2759","33630","5878","","","","431838","6000","","","6001","","","","","","",""
"2970","2864","order","Pyrocystales","1","131567","2759","33630","","","","","","2864","","","2970","","","","","","",""
"89954","2864","order","Suessiales","1","131567","2759","33630","","","","","","2864","","","89954","","","","","","",""
"88547","2864","order","Syndiniales","1","131567","2759","33630","","","","","","2864","","","88547","","","","","","",""
"200604","141411","order","Tintinnida","1","131567","2759","33630","5878","","","","431838","33829","141411","","200604","","","","","","",""
"486728","194286","order","Urostylida","1","131567","2759","33630","5878","","","","431838","33829","194286","","486728","","","","","","",""
"37093","31277","below_order","Tetrahymenina","1","131567","2759","33630","5878","","","","431838","6020","","","31277","37093","","","","","",""
"88548","88547","family","Amoebophryaceae","1","131567","2759","33630","","","","","","2864","","","88547","","88548","","","","",""
"1123714","40984","family","Amphidomataceae","1","131567","2759","33630","","","","","","2864","","","40984","","1123714","","","","",""
"219171","5957","family","Blepharismidae","1","131567","2759","33630","5878","","","","431837","194287","","","5957","","219171","","","","",""
"39451","40984","family","Ceratiaceae","1","131567","2759","33630","","","","","","2864","","","40984","","39451","","","","",""
"219173","5957","family","Climacostomidae","1","131567","2759","33630","5878","","","","431837","194287","","","5957","","219173","","","","",""
"6002","6001","family","Colepidae","1","131567","2759","33630","5878","","","","431838","6000","","","6001","","6002","","","","",""
"219172","5957","family","Condylostomatidae","1","131567","2759","33630","5878","","","","431837","194287","","","5957","","219172","","","","",""
"39452","40984","family","Crypthecodiniaceae","1","131567","2759","33630","","","","","","2864","","","40984","","39452","","","","",""
"47932","447211","family","Dinophysiaceae","1","131567","2759","33630","","","","","","2864","","","447211","","47932","","","","",""
"1333875","2910","family","Endodiniaceae","1","131567","2759","33630","","","","","","2864","","","2910","","1333875","","","","",""
"100127","33831","family","Euplotidae","1","131567","2759","33630","5878","","","","431838","33829","5934","","33831","","100127","","","","",""
"1502944","5957","family","Fabreidae","1","131567","2759","33630","5878","","","","431837","194287","","","5957","","1502944","","","","",""
"1129376","40984","family","Goniodomataceae","1","131567","2759","33630","","","","","","2864","","","40984","","1129376","","","","",""
"33834","40984","family","Gonyaulacaceae","1","131567","2759","33630","","","","","","2864","","","40984","","33834","","","","",""
"66801","2953","family","Gymnodiniaceae","1","131567","2759","33630","","","","","","2864","","","2953","","66801","","","","",""
"66802","2910","family","Heterocapsaceae","1","131567","2759","33630","","","","","","2864","","","2910","","66802","","","","",""
"1003176","2953","family","Kareniaceae","1","131567","2759","33630","","","","","","2864","","","2953","","1003176","","","","",""
"158377","35087","family","Lecudinidae","1","131567","2759","33630","","","5794","1280412","","35086","","","35087","","158377","","","","",""
"197908","197906","family","Litonotidae","1","131567","2759","33630","5878","","","","431838","5988","197905","","197906","","197908","","","","",""
"283645","197907","family","Mesodiniidae","1","131567","2759","33630","5878","","","","431838","5988","197905","","197907","","283645","","","","",""
"66804","2964","family","Noctilucaceae","1","131567","2759","33630","","","","","","2864","","","2964","","66804","","","","",""
"106394","198613","family","Orchitophryidae","1","131567","2759","33630","5878","","","","431838","6020","35094","","198613","","106394","","","","",""
"174810","1239064","family","Oxyrrhinaceae","1","131567","2759","33630","","","","","","2864","","","1239064","","174810","","","","",""
"66803","2910","family","Peridiniaceae","1","131567","2759","33630","","","","","","2864","","","2910","","66803","","","","",""
"27999","27998","family","Perkinsidae","1","131567","2759","33630","27997","","","","","","","","27998","","27999","","","","",""
"767765","88560","family","Platyophryidae","1","131567","2759","33630","5878","","","","431838","5977","","","88560","","767765","","","","",""
"210731","2910","family","Podolampaceae","1","131567","2759","33630","","","","","","2864","","","2910","","210731","","","","",""
"2943","2942","family","Prorocentraceae","1","131567","2759","33630","","","","","","2864","","","2942","","2943","","","","",""
"311384","486728","family","Pseudokeronopsidae","1","131567","2759","33630","5878","","","","431838","33829","194286","","486728","","311384","","","","",""
"1573500","2970","family","Pyrocystaceae","1","131567","2759","33630","","","","","","2864","","","2970","","1573500","","","","",""
"211026","200604","family","Rhabdonellidae","1","131567","2759","33630","5878","","","","431838","33829","141411","","200604","","211026","","","","",""
"60004","211030","family","Strombidiidae","1","131567","2759","33630","5878","","","","431838","33829","211030","","","","60004","","","","",""
"141412","200605","family","Strombidinopsidae","1","131567","2759","33630","5878","","","","431838","33829","141411","","200605","","141412","","","","",""
"89955","89954","family","Suessiaceae","1","131567","2759","33630","","","","","","2864","","","89954","","89955","","","","",""
"252141","89954","family","Symbiodiniaceae","1","131567","2759","33630","","","","","","2864","","","89954","","252141","","","","",""
"291294","37093","family","Tetrahymenidae","1","131567","2759","33630","5878","","","","431838","6020","","","31277","37093","291294","","","","",""
"1691972","2910","family","Thoracosphaeraceae","1","131567","2759","33630","","","","","","2864","","","2910","","1691972","","","","",""
"35105","198613","family","Uronematidae","1","131567","2759","33630","5878","","","","431838","6020","35094","","198613","","35105","","","","",""
"211023","200604","family","Xystonellidae","1","131567","2759","33630","5878","","","","431838","33829","141411","","200604","","211023","","","","",""
"143671","66801","genus","Akashiwo","1","131567","2759","33630","","","","","","2864","","","2953","","66801","143671","","","",""
"2924","33834","genus","Alexandrium","1","131567","2759","33630","","","","","","2864","","","40984","","33834","2924","","","",""
"88551","88548","genus","Amoebophrya","1","131567","2759","33630","","","","","","2864","","","88547","","88548","88551","","","",""
"2960","66801","genus","Amphidinium","1","131567","2759","33630","","","","","","2864","","","2953","","66801","2960","","","",""
"46461","106394","genus","Anophryoides","1","131567","2759","33630","5878","","","","431838","6020","35094","","198613","","106394","46461","","","",""
"485356","333946","genus","Aristerostoma","1","131567","2759","33630","5878","","","","431838","6020","35094","333946","","","","485356","","","",""
"632149","1123714","genus","Azadinium","1","131567","2759","33630","","","","","","2864","","","40984","","1123714","632149","","","",""
"5959","219171","genus","Blepharisma","1","131567","2759","33630","5878","","","","431837","194287","","","5957","","219171","5959","","","",""
"1482939","1333875","genus","Brandtodinium","1","131567","2759","33630","","","","","","2864","","","2910","","1333875","1482939","","","",""
"505692","877183","genus","Chromera","1","131567","2759","33630","","","877183","","","","","","","","","505692","","","",""
"49979","219173","genus","Climacostomum","1","131567","2759","33630","5878","","","","431837","194287","","","5957","","219173","49979","","","",""
"40632","219172","genus","Condylostoma","1","131567","2759","33630","5878","","","","431837","194287","","","5957","","219172","40632","","","",""
"2865","39452","genus","Crypthecodinium","1","131567","2759","33630","","","","","","2864","","","40984","","39452","2865","","","",""
"47933","47932","genus","Dinophysis","1","131567","2759","33630","","","","","","2864","","","447211","","47932","47933","","","",""
"400754","66803","genus","Durinskia","1","131567","2759","33630","","","","","","2864","","","2910","","66803","400754","","","",""
"5935","100127","genus","Euplotes","1","131567","2759","33630","5878","","","","431838","33829","5934","","33831","","100127","5935","","","",""
"342562","1502944","genus","Fabrea","1","131567","2759","33630","5878","","","","431837","194287","","","5957","","1502944","342562","","","",""
"182086","211023","genus","Favella","1","131567","2759","33630","5878","","","","431838","33829","141411","","200604","","211023","182086","","","",""
"373097","1129376","genus","Gambierdiscus","1","131567","2759","33630","","","","","","2864","","","40984","","1129376","373097","","","",""
"2912","33834","genus","Gonyaulax","1","131567","2759","33630","","","","","","2864","","","40984","","33834","2912","","","",""
"2955","66801","genus","Gymnodinium","1","131567","2759","33630","","","","","","2864","","","2953","","66801","2955","","","",""
"60594","66801","genus","Gyrodinium","1","131567","2759","33630","","","","","","2864","","","2953","","66801","60594","","","",""
"2918","66802","genus","Heterocapsa","1","131567","2759","33630","","","","","","2864","","","2910","","66802","2918","","","",""
"156229","1003176","genus","Karenia","1","131567","2759","33630","","","","","","2864","","","2953","","1003176","156229","","","",""
"157684","1003176","genus","Karlodinium","1","131567","2759","33630","","","","","","2864","","","2953","","1003176","157684","","","",""
"160618","66803","genus","Kryptoperidinium","1","131567","2759","33630","","","","","","2864","","","2910","","66803","160618","","","",""
"340203","158377","genus","Lankesteria","1","131567","2759","33630","","","5794","1280412","","35086","","","35087","","158377","340203","","","",""
"210732","210731","genus","Lessardia","1","131567","2759","33630","","","","","","2864","","","2910","","210731","210732","","","",""
"160620","40984","genus","Lingulodinium","1","131567","2759","33630","","","","","","2864","","","40984","","","160620","","","",""
"346246","197908","genus","Litonotus","1","131567","2759","33630","5878","","","","431838","5988","197905","","197906","","197908","346246","","","",""
"283646","283645","genus","Mesodinium","1","131567","2759","33630","5878","","","","431838","5988","197905","","197907","","283645","283646","","","",""
"152459","100127","genus","Moneuplotes","1","131567","2759","33630","5878","","","","431838","33829","5934","","33831","","100127","152459","","","",""
"283648","283645","genus","Myrionecta","1","131567","2759","33630","5878","","","","431838","5988","197905","","197907","","283645","283648","","","",""
"665866","39451","genus","Neoceratium","1","131567","2759","33630","","","","","","2864","","","40984","","39451","665866","","","",""
"2965","66804","genus","Noctiluca","1","131567","2759","33630","","","","","","2864","","","2964","","66804","2965","","","",""
"2968","174810","genus","Oxyrrhis","1","131567","2759","33630","","","","","","2864","","","1239064","","174810","2968","","","",""
"766107","89955","genus","Pelagodinium","1","131567","2759","33630","","","","","","2864","","","89954","","89955","766107","","","",""
"2867","66803","genus","Peridinium","1","131567","2759","33630","","","","","","2864","","","2910","","66803","2867","","","",""
"28000","27999","genus","Perkinsus","1","131567","2759","33630","27997","","","","","","","","27998","","27999","28000","","","",""
"88562","767765","genus","Platyophrya","1","131567","2759","33630","5878","","","","431838","5977","","","88560","","767765","88562","","","",""
"89956","89955","genus","Polarella","1","131567","2759","33630","","","","","","2864","","","89954","","89955","89956","","","",""
"2944","2943","genus","Prorocentrum","1","131567","2759","33630","","","","","","2864","","","2942","","2943","2944","","","",""
"133426","33834","genus","Protoceratium","1","131567","2759","33630","","","","","","2864","","","40984","","33834","133426","","","",""
"49977","194288","genus","Protocruzia","1","131567","2759","33630","5878","","","","431838","33829","194288","","","","","49977","","","",""
"311385","311384","genus","Pseudokeronopsis","1","131567","2759","33630","5878","","","","431838","33829","194286","","486728","","311384","311385","","","",""
"2971","1573500","genus","Pyrocystis","1","131567","2759","33630","","","","","","2864","","","2970","","1573500","2971","","","",""
"73914","1129376","genus","Pyrodinium","1","131567","2759","33630","","","","","","2864","","","40984","","1129376","73914","","","",""
"1229733","211026","genus","Schmidingerella","1","131567","2759","33630","5878","","","","431838","33829","141411","","200604","","211026","1229733","","","",""
"54902","1691972","genus","Scrippsiella","1","131567","2759","33630","","","","","","2864","","","2910","","1691972","54902","","","",""
"141413","141412","genus","Strombidinopsis","1","131567","2759","33630","5878","","","","431838","33829","141411","","200605","","141412","141413","","","",""
"60005","60004","genus","Strombidium","1","131567","2759","33630","5878","","","","431838","33829","211030","","","","60004","60005","","","",""
"2949","252141","genus","Symbiodinium","1","131567","2759","33630","","","","","","2864","","","89954","","252141","2949","","","",""
"5890","291294","genus","Tetrahymena","1","131567","2759","33630","5878","","","","431838","6020","","","31277","37093","291294","5890","","","",""
"2922","1691972","genus","Thoracosphaera","1","131567","2759","33630","","","","","","2864","","","2910","","1691972","2922","","","",""
"693139","6002","genus","Tiarina","1","131567","2759","33630","5878","","","","431838","6000","","","6001","","6002","693139","","","",""
"285028","66801","genus","Togula","1","131567","2759","33630","","","","","","2864","","","2953","","66801","285028","","","",""
"35106","35105","genus","Uronema","1","131567","2759","33630","5878","","","","431838","6020","35094","","198613","","35105","35106","","","",""
"1169538","877183","genus","Vitrella","1","131567","2759","33630","","","877183","","","","","","","","","1169538","","","",""
"633875","2949","below_genus","Symbiodinium sp. clades","1","131567","2759","33630","","","","","","2864","","","89954","","252141","2949","633875","","",""
"279888","2949","below_genus","unclassified Symbiodinium","1","131567","2759","33630","","","","","","2864","","","89954","","252141","2949","279888","","",""
"143672","143671","species","Akashiwo sanguinea","1","131567","2759","33630","","","","","","2864","","","2953","","66801","143671","","143672","",""
"327968","2924","species","Alexandrium andersonii","1","131567","2759","33630","","","","","","2864","","","40984","","33834","2924","","327968","",""
"2925","2924","species","Alexandrium catenella","1","131567","2759","33630","","","","","","2864","","","40984","","33834","2924","","2925","",""
"2932","2924","species","Alexandrium fundyense","1","131567","2759","33630","","","","","","2864","","","40984","","33834","2924","","2932","",""
"109239","2924","species","Alexandrium margalefii","1","131567","2759","33630","","","","","","2864","","","40984","","33834","2924","","109239","",""
"39455","2924","species","Alexandrium minutum","1","131567","2759","33630","","","","","","2864","","","40984","","33834","2924","","39455","",""
"311494","2924","species","Alexandrium monilatum","1","131567","2759","33630","","","","","","2864","","","40984","","33834","2924","","311494","",""
"2926","2924","species","Alexandrium tamarense","1","131567","2759","33630","","","","","","2864","","","40984","","33834","2924","","2926","",""
"88552","88551","species","Amoebophrya sp.","1","131567","2759","33630","","","","","","2864","","","88547","","88548","88551","","88552","",""
"2961","2960","species","Amphidinium carterae","1","131567","2759","33630","","","","","","2864","","","2953","","66801","2960","","2961","",""
"160604","2960","species","Amphidinium massartii","1","131567","2759","33630","","","","","","2864","","","2953","","66801","2960","","160604","",""
"46462","46461","species","Anophryoides haemophila","1","131567","2759","33630","5878","","","","431838","6020","35094","","198613","","106394","46461","","46462","",""
"485358","485356","species","Aristerostoma sp. ATCC 50986","1","131567","2759","33630","5878","","","","431838","6020","35094","333946","","","","485356","","485358","",""
"632150","632149","species","Azadinium spinosum","1","131567","2759","33630","","","","","","2864","","","40984","","1123714","632149","","632150","",""
"5961","5959","species","Blepharisma japonicum","1","131567","2759","33630","5878","","","","431837","194287","","","5957","","219171","5959","","5961","",""
"1333877","1482939","species","Brandtodinium nutricula","1","131567","2759","33630","","","","","","2864","","","2910","","1333875","1482939","","1333877","",""
"505693","505692","species","Chromera velia","1","131567","2759","33630","","","877183","","","","","","","","","505692","","505693","",""
"348535","877183","species","Chromerida sp. RM11","1","131567","2759","33630","","","877183","","","","","","","","","","","348535","",""
"49980","49979","species","Climacostomum virens","1","131567","2759","33630","5878","","","","431837","194287","","","5957","","219173","49979","","49980","",""
"40633","40632","species","Condylostoma magnum","1","131567","2759","33630","5878","","","","431837","194287","","","5957","","219172","40632","","40633","",""
"2866","2865","species","Crypthecodinium cohnii","1","131567","2759","33630","","","","","","2864","","","40984","","39452","2865","","2866","",""
"47934","47933","species","Dinophysis acuminata","1","131567","2759","33630","","","","","","2864","","","447211","","47932","47933","","47934","",""
"400756","400754","species","Durinskia baltica","1","131567","2759","33630","","","","","","2864","","","2910","","66803","400754","","400756","",""
"36767","5935","species","Euplotes focardii","1","131567","2759","33630","5878","","","","431838","33829","5934","","33831","","100127","5935","","36767","",""
"151035","5935","species","Euplotes harpa","1","131567","2759","33630","5878","","","","431838","33829","5934","","33831","","100127","5935","","151035","",""
"342563","342562","species","Fabrea salina","1","131567","2759","33630","5878","","","","431837","194287","","","5957","","1502944","342562","","342563","",""
"182087","182086","species","Favella ehrenbergii","1","131567","2759","33630","5878","","","","431838","33829","141411","","200604","","211023","182086","","182087","",""
"439317","373097","species","Gambierdiscus australes","1","131567","2759","33630","","","","","","2864","","","40984","","1129376","373097","","439317","",""
"66791","2912","species","Gonyaulax spinifera","1","131567","2759","33630","","","","","","2864","","","40984","","33834","2912","","66791","",""
"39447","2955","species","Gymnodinium catenatum","1","131567","2759","33630","","","","","","2864","","","2953","","66801","2955","","39447","",""
"285985","60594","species","Gyrodinium dominans","1","131567","2759","33630","","","","","","2864","","","2953","","66801","60594","","285985","",""
"192219","2918","species","Heterocapsa arctica","1","131567","2759","33630","","","","","","2864","","","2910","","66802","2918","","192219","",""
"89963","2918","species","Heterocapsa rotundata","1","131567","2759","33630","","","","","","2864","","","2910","","66802","2918","","89963","",""
"66468","2918","species","Heterocapsa triquetra","1","131567","2759","33630","","","","","","2864","","","2910","","66802","2918","","66468","",""
"156230","156229","species","Karenia brevis","1","131567","2759","33630","","","","","","2864","","","2953","","1003176","156229","","156230","",""
"407301","157684","species","Karlodinium veneficum","1","131567","2759","33630","","","","","","2864","","","2953","","1003176","157684","","407301","",""
"160619","160618","species","Kryptoperidinium foliaceum","1","131567","2759","33630","","","","","","2864","","","2910","","66803","160618","","160619","",""
"340204","340203","species","Lankesteria abbotti","1","131567","2759","33630","","","5794","1280412","","35086","","","35087","","158377","340203","","340204","",""
"210733","210732","species","Lessardia elongata","1","131567","2759","33630","","","","","","2864","","","2910","","210731","210732","","210733","",""
"160621","160620","species","Lingulodinium polyedrum","1","131567","2759","33630","","","","","","2864","","","40984","","","160620","","160621","",""
"665100","346246","species","Litonotus pictus","1","131567","2759","33630","5878","","","","431838","5988","197905","","197906","","197908","346246","","665100","",""
"283647","283646","species","Mesodinium pulex","1","131567","2759","33630","5878","","","","431838","5988","197905","","197907","","283645","283646","","283647","",""
"5936","152459","species","Moneuplotes crassus","1","131567","2759","33630","5878","","","","431838","33829","5934","","33831","","100127","152459","","5936","",""
"283649","283648","species","Myrionecta rubra","1","131567","2759","33630","5878","","","","431838","5988","197905","","197907","","283645","283648","","283649","",""
"2916","665866","species","Neoceratium fusus","1","131567","2759","33630","","","","","","2864","","","40984","","39451","665866","","2916","",""
"2966","2965","species","Noctiluca scintillans","1","131567","2759","33630","","","","","","2864","","","2964","","66804","2965","","2966","",""
"2969","2968","species","Oxyrrhis marina","1","131567","2759","33630","","","","","","2864","","","1239064","","174810","2968","","2969","",""
"43686","766107","species","Pelagodinium beii","1","131567","2759","33630","","","","","","2864","","","89954","","89955","766107","","43686","",""
"268820","2867","species","Peridinium aciculiferum","1","131567","2759","33630","","","","","","2864","","","2910","","66803","2867","","268820","",""
"330153","28000","species","Perkinsus chesapeaki","1","131567","2759","33630","27997","","","","","","","","27998","","27999","28000","","330153","",""
"31276","28000","species","Perkinsus marinus","1","131567","2759","33630","27997","","","","","","","","27998","","27999","28000","","31276","",""
"938130","88562","species","Platyophrya macrostoma","1","131567","2759","33630","5878","","","","431838","5977","","","88560","","767765","88562","","938130","",""
"89957","89956","species","Polarella glacialis","1","131567","2759","33630","","","","","","2864","","","89954","","89955","89956","","89957","",""
"39448","2944","species","Prorocentrum lima","1","131567","2759","33630","","","","","","2864","","","2942","","2943","2944","","39448","",""
"2945","2944","species","Prorocentrum micans","1","131567","2759","33630","","","","","","2864","","","2942","","2943","2944","","2945","",""
"39449","2944","species","Prorocentrum minimum","1","131567","2759","33630","","","","","","2864","","","2942","","2943","2944","","39449","",""
"133427","133426","species","Protoceratium reticulatum","1","131567","2759","33630","","","","","","2864","","","40984","","33834","133426","","133427","",""
"223996","49977","species","Protocruzia adherens","1","131567","2759","33630","5878","","","","431838","33829","194288","","","","","49977","","223996","",""
"2972","2971","species","Pyrocystis lunula","1","131567","2759","33630","","","","","","2864","","","2970","","1573500","2971","","2972","",""
"73915","73914","species","Pyrodinium bahamense","1","131567","2759","33630","","","","","","2864","","","40984","","1129376","73914","","73915","",""
"626734","1229733","species","Schmidingerella taraikaensis","1","131567","2759","33630","5878","","","","431838","33829","141411","","200604","","211026","1229733","","626734","",""
"447022","54902","species","Scrippsiella cf. hangoei","1","131567","2759","33630","","","","","","2864","","","2910","","1691972","54902","","447022","",""
"268821","54902","species","Scrippsiella hangoei","1","131567","2759","33630","","","","","","2864","","","2910","","1691972","54902","","268821","",""
"71861","54902","species","Scrippsiella trochoidea","1","131567","2759","33630","","","","","","2864","","","2910","","1691972","54902","","71861","",""
"141414","141413","species","Strombidinopsis acuminata","1","131567","2759","33630","5878","","","","431838","33829","141411","","200605","","141412","141413","","141414","",""
"181622","141413","species","Strombidinopsis sp.","1","131567","2759","33630","5878","","","","431838","33829","141411","","200605","","141412","141413","","181622","",""
"197538","60005","species","Strombidium inclinatum","1","131567","2759","33630","5878","","","","431838","33829","211030","","","","60004","60005","","197538","",""
"1082188","60005","species","Strombidium rassoulzadegani","1","131567","2759","33630","5878","","","","431838","33829","211030","","","","60004","60005","","1082188","",""
"104179","2949","species","Symbiodinium kawagutii","1","131567","2759","33630","","","","","","2864","","","89954","","252141","2949","","104179","",""
"631057","279888","species","Symbiodinium sp. CCMP2430","1","131567","2759","33630","","","","","","2864","","","89954","","252141","2949","279888","631057","",""
"174948","279888","species","Symbiodinium sp. CCMP421","1","131567","2759","33630","","","","","","2864","","","89954","","252141","2949","279888","174948","",""
"230996","279888","species","Symbiodinium sp. Mp","1","131567","2759","33630","","","","","","2864","","","89954","","252141","2949","279888","230996","",""
"311979","633875","species","Symbiodinium sp. clade A","1","131567","2759","33630","","","","","","2864","","","89954","","252141","2949","633875","311979","",""
"293275","633875","species","Symbiodinium sp. clade C","1","131567","2759","33630","","","","","","2864","","","89954","","252141","2949","633875","293275","",""
"462645","279888","species","Symbiodinium sp. type D1a","1","131567","2759","33630","","","","","","2864","","","89954","","252141","2949","279888","462645","",""
"5911","5890","species","Tetrahymena thermophila","1","131567","2759","33630","5878","","","","431838","6020","","","31277","37093","291294","5890","","5911","",""
"2923","2922","species","Thoracosphaera heimii","1","131567","2759","33630","","","","","","2864","","","2910","","1691972","2922","","2923","",""
"693140","693139","species","Tiarina fusa","1","131567","2759","33630","5878","","","","431838","6000","","","6001","","6002","693139","","693140","",""
"285029","285028","species","Togula jolla","1","131567","2759","33630","","","","","","2864","","","2953","","66801","285028","","285029","",""
"35107","35106","species","Uronema marinum","1","131567","2759","33630","5878","","","","431838","6020","35094","","198613","","35105","35106","","35107","",""
"1169539","1169538","species","Vitrella brassicaformis","1","131567","2759","33630","","","877183","","","","","","","","","1169538","","1169539","",""
"187299","187298","species","uncultured ciliate","1","131567","2759","33630","5878","187298","","","","","","","","","","","","187299","",""
"100272","61964","species","uncultured eukaryote","1","131567","2759","61964","","","","","","","","","","","","","","100272","",""
"321610","330153","below_species","Perkinsus chesapeaki ATCC PRA-65","1","131567","2759","33630","27997","","","","","","","","27998","","27999","28000","","330153","321610",""
"1032511","31276","below_species","Perkinsus marinus ATCC 50439","1","131567","2759","33630","27997","","","","","","","","27998","","27999","28000","","31276","1032511",""
"765179","311979","below_species","Symbiodinium clade A isolates","1","131567","2759","33630","","","","","","2864","","","89954","","252141","2949","633875","311979","765179",""
"293213","293275","below_species","Symbiodinium sp. C1","1","131567","2759","33630","","","","","","2864","","","89954","","252141","2949","633875","293275","293213",""
"377605","293275","below_species","Symbiodinium sp. C15","1","131567","2759","33630","","","","","","2864","","","89954","","252141","2949","633875","293275","377605",""
"312017","5911","below_species","Tetrahymena thermophila SB210","1","131567","2759","33630","5878","","","","431838","6020","","","31277","37093","291294","5890","","5911","312017",""
"1169540","1169539","below_species","Vitrella brassicaformis CCMP3155","1","131567","2759","33630","","","877183","","","","","","","","","1169538","","1169539","1169540",""
"993574","765179","below_below_species","Symbiodinium sp. Mf12.5f/clade A3","1","131567","2759","33630","","","","","","2864","","","89954","","252141","2949","633875","311979","765179","993574"
