"tax_id","parent_id","rank","tax_name","root","below_root","superkingdom","below_superkingdom","class","order","family","genus","below_genus","species","below_species","below_below_species"
"1","1","root","root","1","","","","","","","","","","",""
"131567","1","below_root","cellular organisms","1","131567","","","","","","","","","",""
"2759","131567","superkingdom","Eukaryota","1","131567","2759","","","","","","","","",""
"33630","2759","below_superkingdom","Alveolata","1","131567","2759","33630","","","","","","","",""
"61964","2759","below_superkingdom","environmental samples","1","131567","2759","61964","","","","","","","",""
"2864","33630","class","Dinophyceae","1","131567","2759","33630","2864","","","","","","",""
"447211","2864","order","Dinophysiales","1","131567","2759","33630","2864","447211","","","","","",""
"40984","2864","order","Gonyaulacales","1","131567","2759","33630","2864","40984","","","","","",""
"2953","2864","order","Gymnodiniales","1","131567","2759","33630","2864","2953","","","","","",""
"2964","2864","order","Noctilucales","1","131567","2759","33630","2864","2964","","","","","",""
"1239064","2864","order","Oxyrrhinales","1","131567","2759","33630","2864","1239064","","","","","",""
"2910","2864","order","Peridiniales","1","131567","2759","33630","2864","2910","","","","","",""
"2942","2864","order","Prorocentrales","1","131567","2759","33630","2864","2942","","","","","",""
"2970","2864","order","Pyrocystales","1","131567","2759","33630","2864","2970","","","","","",""
"89954","2864","order","Suessiales","1","131567","2759","33630","2864","89954","","","","","",""
"88547","2864","order","Syndiniales","1","131567","2759","33630","2864","88547","","","","","",""
"88548","88547","family","Amoebophryaceae","1","131567","2759","33630","2864","88547","88548","","","","",""
"1123714","40984","family","Amphidomataceae","1","131567","2759","33630","2864","40984","1123714","","","","",""
"39451","40984","family","Ceratiaceae","1","131567","2759","33630","2864","40984","39451","","","","",""
"39452","40984","family","Crypthecodiniaceae","1","131567","2759","33630","2864","40984","39452","","","","",""
"47932","447211","family","Dinophysiaceae","1","131567","2759","33630","2864","447211","47932","","","","",""
"1129376","40984","family","Goniodomataceae","1","131567","2759","33630","2864","40984","1129376","","","","",""
"33834","40984","family","Gonyaulacaceae","1","131567","2759","33630","2864","40984","33834","","","","",""
"66801","2953","family","Gymnodiniaceae","1","131567","2759","33630","2864","2953","66801","","","","",""
"66802","2910","family","Heterocapsaceae","1","131567","2759","33630","2864","2910","66802","","","","",""
"1003176","2953","family","Kareniaceae","1","131567","2759","33630","2864","2953","1003176","","","","",""
"66804","2964","family","Noctilucaceae","1","131567","2759","33630","2864","2964","66804","","","","",""
"174810","1239064","family","Oxyrrhinaceae","1","131567","2759","33630","2864","1239064","174810","","","","",""
"66803","2910","family","Peridiniaceae","1","131567","2759","33630","2864","2910","66803","","","","",""
"210731","2910","family","Podolampaceae","1","131567","2759","33630","2864","2910","210731","","","","",""
"2943","2942","family","Prorocentraceae","1","131567","2759","33630","2864","2942","2943","","","","",""
"1573500","2970","family","Pyrocystaceae","1","131567","2759","33630","2864","2970","1573500","","","","",""
"89955","89954","family","Suessiaceae","1","131567","2759","33630","2864","89954","89955","","","","",""
"252141","89954","family","Symbiodiniaceae","1","131567","2759","33630","2864","89954","252141","","","","",""
"1691972","2910","family","Thoracosphaeraceae","1","131567","2759","33630","2864","2910","1691972","","","","",""
"143671","66801","genus","Akashiwo","1","131567","2759","33630","2864","2953","66801","143671","","","",""
"2924","33834","genus","Alexandrium","1","131567","2759","33630","2864","40984","33834","2924","","","",""
"88551","88548","genus","Amoebophrya","1","131567","2759","33630","2864","88547","88548","88551","","","",""
"2960","66801","genus","Amphidinium","1","131567","2759","33630","2864","2953","66801","2960","","","",""
"632149","1123714","genus","Azadinium","1","131567","2759","33630","2864","40984","1123714","632149","","","",""
"2865","39452","genus","Crypthecodinium","1","131567","2759","33630","2864","40984","39452","2865","","","",""
"47933","47932","genus","Dinophysis","1","131567","2759","33630","2864","447211","47932","47933","","","",""
"400754","66803","genus","Durinskia","1","131567","2759","33630","2864","2910","66803","400754","","","",""
"373097","1129376","genus","Gambierdiscus","1","131567","2759","33630","2864","40984","1129376","373097","","","",""
"2955","66801","genus","Gymnodinium","1","131567","2759","33630","2864","2953","66801","2955","","","",""
"60594","66801","genus","Gyrodinium","1","131567","2759","33630","2864","2953","66801","60594","","","",""
"2918","66802","genus","Heterocapsa","1","131567","2759","33630","2864","2910","66802","2918","","","",""
"156229","1003176","genus","Karenia","1","131567","2759","33630","2864","2953","1003176","156229","","","",""
"157684","1003176","genus","Karlodinium","1","131567","2759","33630","2864","2953","1003176","157684","","","",""
"160618","66803","genus","Kryptoperidinium","1","131567","2759","33630","2864","2910","66803","160618","","","",""
"210732","210731","genus","Lessardia","1","131567","2759","33630","2864","2910","210731","210732","","","",""
"160620","40984","genus","Lingulodinium","1","131567","2759","33630","2864","40984","","160620","","","",""
"665866","39451","genus","Neoceratium","1","131567","2759","33630","2864","40984","39451","665866","","","",""
"2965","66804","genus","Noctiluca","1","131567","2759","33630","2864","2964","66804","2965","","","",""
"2968","174810","genus","Oxyrrhis","1","131567","2759","33630","2864","1239064","174810","2968","","","",""
"766107","89955","genus","Pelagodinium","1","131567","2759","33630","2864","89954","89955","766107","","","",""
"2867","66803","genus","Peridinium","1","131567","2759","33630","2864","2910","66803","2867","","","",""
"89956","89955","genus","Polarella","1","131567","2759","33630","2864","89954","89955","89956","","","",""
"2944","2943","genus","Prorocentrum","1","131567","2759","33630","2864","2942","2943","2944","","","",""
"133426","33834","genus","Protoceratium","1","131567","2759","33630","2864","40984","33834","133426","","","",""
"2971","1573500","genus","Pyrocystis","1","131567","2759","33630","2864","2970","1573500","2971","","","",""
"73914","1129376","genus","Pyrodinium","1","131567","2759","33630","2864","40984","1129376","73914","","","",""
"54902","1691972","genus","Scrippsiella","1","131567","2759","33630","2864","2910","1691972","54902","","","",""
"2949","252141","genus","Symbiodinium","1","131567","2759","33630","2864","89954","252141","2949","","","",""
"2922","1691972","genus","Thoracosphaera","1","131567","2759","33630","2864","2910","1691972","2922","","","",""
"285028","66801","genus","Togula","1","131567","2759","33630","2864","2953","66801","285028","","","",""
"633875","2949","below_genus","Symbiodinium sp. clades","1","131567","2759","33630","2864","89954","252141","2949","633875","","",""
"279888","2949","below_genus","unclassified Symbiodinium","1","131567","2759","33630","2864","89954","252141","2949","279888","","",""
"143672","143671","species","Akashiwo sanguinea","1","131567","2759","33630","2864","2953","66801","143671","","143672","",""
"327968","2924","species","Alexandrium andersonii","1","131567","2759","33630","2864","40984","33834","2924","","327968","",""
"2925","2924","species","Alexandrium catenella","1","131567","2759","33630","2864","40984","33834","2924","","2925","",""
"2932","2924","species","Alexandrium fundyense","1","131567","2759","33630","2864","40984","33834","2924","","2932","",""
"109239","2924","species","Alexandrium margalefii","1","131567","2759","33630","2864","40984","33834","2924","","109239","",""
"39455","2924","species","Alexandrium minutum","1","131567","2759","33630","2864","40984","33834","2924","","39455","",""
"311494","2924","species","Alexandrium monilatum","1","131567","2759","33630","2864","40984","33834","2924","","311494","",""
"2926","2924","species","Alexandrium tamarense","1","131567","2759","33630","2864","40984","33834","2924","","2926","",""
"88552","88551","species","Amoebophrya sp.","1","131567","2759","33630","2864","88547","88548","88551","","88552","",""
"2961","2960","species","Amphidinium carterae","1","131567","2759","33630","2864","2953","66801","2960","","2961","",""
"160604","2960","species","Amphidinium massartii","1","131567","2759","33630","2864","2953","66801","2960","","160604","",""
"632150","632149","species","Azadinium spinosum","1","131567","2759","33630","2864","40984","1123714","632149","","632150","",""
"2866","2865","species","Crypthecodinium cohnii","1","131567","2759","33630","2864","40984","39452","2865","","2866","",""
"47934","47933","species","Dinophysis acuminata","1","131567","2759","33630","2864","447211","47932","47933","","47934","",""
"400756","400754","species","Durinskia baltica","1","131567","2759","33630","2864","2910","66803","400754","","400756","",""
"439317","373097","species","Gambierdiscus australes","1","131567","2759","33630","2864","40984","1129376","373097","","439317","",""
"39447","2955","species","Gymnodinium catenatum","1","131567","2759","33630","2864","2953","66801","2955","","39447","",""
"285985","60594","species","Gyrodinium dominans","1","131567","2759","33630","2864","2953","66801","60594","","285985","",""
"89963","2918","species","Heterocapsa rotundata","1","131567","2759","33630","2864","2910","66802","2918","","89963","",""
"66468","2918","species","Heterocapsa triquetra","1","131567","2759","33630","2864","2910","66802","2918","","66468","",""
"156230","156229","species","Karenia brevis","1","131567","2759","33630","2864","2953","1003176","156229","","156230","",""
"407301","157684","species","Karlodinium veneficum","1","131567","2759","33630","2864","2953","1003176","157684","","407301","",""
"160619","160618","species","Kryptoperidinium foliaceum","1","131567","2759","33630","2864","2910","66803","160618","","160619","",""
"210733","210732","species","Lessardia elongata","1","131567","2759","33630","2864","2910","210731","210732","","210733","",""
"160621","160620","species","Lingulodinium polyedrum","1","131567","2759","33630","2864","40984","","160620","","160621","",""
"2916","665866","species","Neoceratium fusus","1","131567","2759","33630","2864","40984","39451","665866","","2916","",""
"2966","2965","species","Noctiluca scintillans","1","131567","2759","33630","2864","2964","66804","2965","","2966","",""
"2969","2968","species","Oxyrrhis marina","1","131567","2759","33630","2864","1239064","174810","2968","","2969","",""
"43686","766107","species","Pelagodinium beii","1","131567","2759","33630","2864","89954","89955","766107","","43686","",""
"268820","2867","species","Peridinium aciculiferum","1","131567","2759","33630","2864","2910","66803","2867","","268820","",""
"89957","89956","species","Polarella glacialis","1","131567","2759","33630","2864","89954","89955","89956","","89957","",""
"39448","2944","species","Prorocentrum lima","1","131567","2759","33630","2864","2942","2943","2944","","39448","",""
"2945","2944","species","Prorocentrum micans","1","131567","2759","33630","2864","2942","2943","2944","","2945","",""
"39449","2944","species","Prorocentrum minimum","1","131567","2759","33630","2864","2942","2943","2944","","39449","",""
"133427","133426","species","Protoceratium reticulatum","1","131567","2759","33630","2864","40984","33834","133426","","133427","",""
"2972","2971","species","Pyrocystis lunula","1","131567","2759","33630","2864","2970","1573500","2971","","2972","",""
"73915","73914","species","Pyrodinium bahamense","1","131567","2759","33630","2864","40984","1129376","73914","","73915","",""
"447022","54902","species","Scrippsiella cf. hangoei","1","131567","2759","33630","2864","2910","1691972","54902","","447022","",""
"268821","54902","species","Scrippsiella hangoei","1","131567","2759","33630","2864","2910","1691972","54902","","268821","",""
"71861","54902","species","Scrippsiella trochoidea","1","131567","2759","33630","2864","2910","1691972","54902","","71861","",""
"104179","2949","species","Symbiodinium kawagutii","1","131567","2759","33630","2864","89954","252141","2949","","104179","",""
"631057","279888","species","Symbiodinium sp. CCMP2430","1","131567","2759","33630","2864","89954","252141","2949","279888","631057","",""
"174948","279888","species","Symbiodinium sp. CCMP421","1","131567","2759","33630","2864","89954","252141","2949","279888","174948","",""
"230996","279888","species","Symbiodinium sp. Mp","1","131567","2759","33630","2864","89954","252141","2949","279888","230996","",""
"311979","633875","species","Symbiodinium sp. clade A","1","131567","2759","33630","2864","89954","252141","2949","633875","311979","",""
"293275","633875","species","Symbiodinium sp. clade C","1","131567","2759","33630","2864","89954","252141","2949","633875","293275","",""
"462645","279888","species","Symbiodinium sp. type D1a","1","131567","2759","33630","2864","89954","252141","2949","279888","462645","",""
"2923","2922","species","Thoracosphaera heimii","1","131567","2759","33630","2864","2910","1691972","2922","","2923","",""
"285029","285028","species","Togula jolla","1","131567","2759","33630","2864","2953","66801","285028","","285029","",""
"100272","61964","species","uncultured eukaryote","1","131567","2759","61964","","","","","","100272","",""
"765179","311979","below_species","Symbiodinium clade A isolates","1","131567","2759","33630","2864","89954","252141","2949","633875","311979","765179",""
"293213","293275","below_species","Symbiodinium sp. C1","1","131567","2759","33630","2864","89954","252141","2949","633875","293275","293213",""
"377605","293275","below_species","Symbiodinium sp. C15","1","131567","2759","33630","2864","89954","252141","2949","633875","293275","377605",""
"993574","765179","below_below_species","Symbiodinium sp. Mf12.5f/clade A3","1","131567","2759","33630","2864","89954","252141","2949","633875","311979","765179","993574"
