"tax_id","parent_id","rank","tax_name","root","below_root","superkingdom","below_superkingdom","kingdom","phylum","below_phylum","below_below_phylum","below_below_below_phylum","class","below_class","order","family","genus","species","below_species","forma"
"1","1","root","root","1","","","","","","","","","","","","","","","",""
"131567","1","below_root","cellular organisms","1","131567","","","","","","","","","","","","","","",""
"2759","131567","superkingdom","Eukaryota","1","131567","2759","","","","","","","","","","","","","",""
"33634","2759","below_superkingdom","Stramenopiles","1","131567","2759","33634","","","","","","","","","","","","",""
"33090","2759","kingdom","Viridiplantae","1","131567","2759","","33090","","","","","","","","","","","",""
"3041","33090","phylum","Chlorophyta","1","131567","2759","","33090","3041","","","","","","","","","","",""
"3152","3041","below_phylum","prasinophytes","1","131567","2759","","33090","3041","3152","","","","","","","","","",""
"1541723","3152","below_below_phylum","prasinophyte clade VII","1","131567","2759","","33090","3041","3152","1541723","","","","","","","","",""
"114040","3152","below_below_phylum","unclassified Prasinophyceae","1","131567","2759","","33090","3041","3152","114040","","","","","","","","",""
"1541724","1541723","below_below_below_phylum","unclassified prasinophyte clade VII","1","131567","2759","","33090","3041","3152","1541723","1541724","","","","","","","",""
"1524962","3041","class","Chlorodendrophyceae","1","131567","2759","","33090","3041","","","","1524962","","","","","","",""
"3166","3041","class","Chlorophyceae","1","131567","2759","","33090","3041","","","","3166","","","","","","",""
"39119","33634","class","Dictyochophyceae","1","131567","2759","33634","","","","","","39119","","","","","","",""
"38254","2759","class","Glaucocystophyceae","1","131567","2759","","","","","","","38254","","","","","","",""
"1035538","3152","class","Mamiellophyceae","1","131567","2759","","33090","3041","3152","","","1035538","","","","","","",""
"1242998","3152","class","Nephroselmidophyceae","1","131567","2759","","33090","3041","3152","","","1242998","","","","","","",""
"75966","3041","class","Trebouxiophyceae","1","131567","2759","","33090","3041","","","","75966","","","","","","",""
"75981","75966","below_class","Trebouxiophyceae incertae sedis","1","131567","2759","","33090","3041","","","","75966","75981","","","","","",""
"1035539","1035538","below_class","unclassified Mamiellophyceae","1","131567","2759","","33090","3041","3152","","","1035538","1035539","","","","","",""
"3042","3166","order","Chlamydomonadales","1","131567","2759","","33090","3041","","","","3166","","3042","","","","",""
"35460","75966","order","Chlorellales","1","131567","2759","","33090","3041","","","","75966","","35460","","","","",""
"35426","1524962","order","Chlorodendrales","1","131567","2759","","33090","3041","","","","1524962","","35426","","","","",""
"1525213","1035538","order","Dolichomastigales","1","131567","2759","","33090","3041","3152","","","1035538","","1525213","","","","",""
"13792","1035538","order","Mamiellales","1","131567","2759","","33090","3041","3152","","","1035538","","13792","","","","",""
"42111","75966","order","Microthamniales","1","131567","2759","","33090","3041","","","","75966","","42111","","","","",""
"35680","39119","order","Pedinellales","1","131567","2759","33634","","","","","","39119","","35680","","","","",""
"485343","3152","order","Prasinococcales","1","131567","2759","","33090","3041","3152","","","","","485343","","","","",""
"38834","3152","order","Pyramimonadales","1","131567","2759","","33090","3041","3152","","","","","38834","","","","",""
"1525212","13792","family","Bathycoccaceae","1","131567","2759","","33090","3041","3152","","","1035538","","13792","1525212","","","",""
"3051","3042","family","Chlamydomonadaceae","1","131567","2759","","33090","3041","","","","3166","","3042","3051","","","",""
"35461","35460","family","Chlorellaceae","1","131567","2759","","33090","3041","","","","75966","","35460","35461","","","",""
"35429","35426","family","Chlorodendraceae","1","131567","2759","","33090","3041","","","","1524962","","35426","35429","","","",""
"35472","75981","family","Coccomyxaceae","1","131567","2759","","33090","3041","","","","75966","75981","","35472","","","",""
"1525216","1525213","family","Crustomastigaceae","1","131567","2759","","33090","3041","3152","","","1035538","","1525213","1525216","","","",""
"1525217","1525213","family","Dolichomastigaceae","1","131567","2759","","33090","3041","3152","","","1035538","","1525213","1525217","","","",""
"3043","3042","family","Dunaliellaceae","1","131567","2759","","33090","3041","","","","3166","","3042","3043","","","",""
"41873","13792","family","Mamiellaceae","1","131567","2759","","33090","3041","3152","","","1035538","","13792","41873","","","",""
"41878","3152","family","Pycnococcaceae","1","131567","2759","","33090","3041","3152","","","","","","41878","","","",""
"3065","3042","family","Volvocaceae","1","131567","2759","","33090","3041","","","","3166","","3042","3065","","","",""
"41874","1525212","genus","Bathycoccus","1","131567","2759","","33090","3041","3152","","","1035538","","13792","1525212","41874","","",""
"3052","3051","genus","Chlamydomonas","1","131567","2759","","33090","3041","","","","3166","","3042","3051","3052","","",""
"3071","35461","genus","Chlorella","1","131567","2759","","33090","3041","","","","75966","","35460","35461","3071","","",""
"41891","35472","genus","Coccomyxa","1","131567","2759","","33090","3041","","","","75966","75981","","35472","41891","","",""
"195966","1525216","genus","Crustomastix","1","131567","2759","","33090","3041","3152","","","1035538","","1525213","1525216","195966","","",""
"77921","38254","genus","Cyanoptyche","1","131567","2759","","","","","","","38254","","","","77921","","",""
"195968","1525217","genus","Dolichomastix","1","131567","2759","","33090","3041","3152","","","1035538","","1525213","1525217","195968","","",""
"3044","3043","genus","Dunaliella","1","131567","2759","","33090","3041","","","","3166","","3042","3043","3044","","",""
"13607","41873","genus","Mantoniella","1","131567","2759","","33090","3041","3152","","","1035538","","13792","41873","13607","","",""
"38832","41873","genus","Micromonas","1","131567","2759","","33090","3041","3152","","","1035538","","13792","41873","38832","","",""
"31311","1242998","genus","Nephroselmis","1","131567","2759","","33090","3041","3152","","","1242998","","","","31311","","",""
"70447","1525212","genus","Ostreococcus","1","131567","2759","","33090","3041","3152","","","1035538","","13792","1525212","70447","","",""
"249344","75981","genus","Picochlorum","1","131567","2759","","33090","3041","","","","75966","75981","","","249344","","",""
"88270","1541723","genus","Picocystis","1","131567","2759","","33090","3041","3152","1541723","","","","","","88270","","",""
"3049","3051","genus","Polytomella","1","131567","2759","","33090","3041","","","","3166","","3042","3051","3049","","",""
"110669","485343","genus","Prasinococcus","1","131567","2759","","33090","3041","3152","","","","","485343","","110669","","",""
"156132","485343","genus","Prasinoderma","1","131567","2759","","33090","3041","3152","","","","","485343","","156132","","",""
"38821","35680","genus","Pteridomonas","1","131567","2759","33634","","","","","","39119","","35680","","38821","","",""
"38835","38834","genus","Pterosperma","1","131567","2759","","33090","3041","3152","","","","","38834","","38835","","",""
"41879","41878","genus","Pycnococcus","1","131567","2759","","33090","3041","3152","","","","","","41878","41879","","",""
"36882","38834","genus","Pyramimonas","1","131567","2759","","33090","3041","3152","","","","","38834","","36882","","",""
"29646","42111","genus","Stichococcus","1","131567","2759","","33090","3041","","","","75966","","42111","","29646","","",""
"3164","35429","genus","Tetraselmis","1","131567","2759","","33090","3041","","","","1524962","","35426","35429","3164","","",""
"3066","3065","genus","Volvox","1","131567","2759","","33090","3041","","","","3166","","3042","3065","3066","","",""
"41875","41874","species","Bathycoccus prasinos","1","131567","2759","","33090","3041","3152","","","1035538","","13792","1525212","41874","41875","",""
"225041","3052","species","Chlamydomonas chlamydogama","1","131567","2759","","33090","3041","","","","3166","","3042","3051","3052","225041","",""
"1034604","3052","species","Chlamydomonas leiostraca","1","131567","2759","","33090","3041","","","","3166","","3042","3051","3052","1034604","",""
"327068","3052","species","Chlamydomonas sp. CCMP219","1","131567","2759","","33090","3041","","","","3166","","3042","3051","3052","327068","",""
"554065","3071","species","Chlorella variabilis","1","131567","2759","","33090","3041","","","","75966","","35460","35461","3071","554065","",""
"248742","41891","species","Coccomyxa subellipsoidea","1","131567","2759","","33090","3041","","","","75966","75981","","35472","41891","248742","",""
"195967","195966","species","Crustomastix stigmatica","1","131567","2759","","33090","3041","3152","","","1035538","","1525213","1525216","195966","195967","",""
"195969","195968","species","Dolichomastix tenuilepis","1","131567","2759","","33090","3041","3152","","","1035538","","1525213","1525217","195968","195969","",""
"3047","3044","species","Dunaliella tertiolecta","1","131567","2759","","33090","3041","","","","3166","","3042","3043","3044","3047","",""
"1155430","1035539","species","Mamiellaceae sp. RCC2288","1","131567","2759","","33090","3041","3152","","","1035538","1035539","","","","1155430","",""
"81844","13607","species","Mantoniella antarctica","1","131567","2759","","33090","3041","3152","","","1035538","","13792","41873","13607","81844","",""
"1461545","13607","species","Mantoniella sp. CCMP1436","1","131567","2759","","33090","3041","3152","","","1035538","","13792","41873","13607","1461545","",""
"296587","38832","species","Micromonas commoda","1","131567","2759","","33090","3041","3152","","","1035538","","13792","41873","38832","296587","",""
"38833","38832","species","Micromonas pusilla","1","131567","2759","","33090","3041","3152","","","1035538","","13792","41873","38832","38833","",""
"156128","31311","species","Nephroselmis pyriformis","1","131567","2759","","33090","3041","3152","","","1242998","","","","31311","156128","",""
"242159","70447","species","Ostreococcus 'lucimarinus'","1","131567","2759","","33090","3041","3152","","","1035538","","13792","1525212","70447","242159","",""
"548131","70447","species","Ostreococcus sp. RCC789","1","131567","2759","","33090","3041","3152","","","1035538","","13792","1525212","70447","548131","",""
"385169","70447","species","Ostreococcus sp. RCC809","1","131567","2759","","33090","3041","3152","","","1035538","","13792","1525212","70447","385169","",""
"70448","70447","species","Ostreococcus tauri","1","131567","2759","","33090","3041","3152","","","1035538","","13792","1525212","70447","70448","",""
"249345","249344","species","Picochlorum oklahomense","1","131567","2759","","33090","3041","","","","75966","75981","","","249344","249345","",""
"464278","249344","species","Picochlorum sp. RCC944","1","131567","2759","","33090","3041","","","","75966","75981","","","249344","464278","",""
"88271","88270","species","Picocystis salinarum","1","131567","2759","","33090","3041","3152","1541723","","","","","","88270","88271","",""
"51329","3049","species","Polytomella parva","1","131567","2759","","33090","3041","","","","3166","","3042","3051","3049","51329","",""
"156131","110669","species","Prasinococcus capsulatus","1","131567","2759","","33090","3041","3152","","","","","485343","","110669","156131","",""
"156133","156132","species","Prasinoderma coloniale","1","131567","2759","","33090","3041","3152","","","","","485343","","156132","156133","",""
"676789","156132","species","Prasinoderma singulare","1","131567","2759","","33090","3041","3152","","","","","485343","","156132","676789","",""
"44458","114040","species","Prasinophyceae sp. CCMP1205","1","131567","2759","","33090","3041","3152","114040","","","","","","","44458","",""
"1461542","114040","species","Prasinophyceae sp. CCMP2111","1","131567","2759","","33090","3041","3152","114040","","","","","","","1461542","",""
"1461546","114040","species","Prasinophyceae sp. CCMP2175","1","131567","2759","","33090","3041","3152","114040","","","","","","","1461546","",""
"1461543","114040","species","Prasinophyceae sp. RCC701","1","131567","2759","","33090","3041","3152","114040","","","","","","","1461543","",""
"38822","38821","species","Pteridomonas danica","1","131567","2759","33634","","","","","","39119","","35680","","38821","38822","",""
"1461541","38835","species","Pterosperma sp. CCMP1384","1","131567","2759","","33090","3041","3152","","","","","38834","","38835","1461541","",""
"41880","41879","species","Pycnococcus provasolii","1","131567","2759","","33090","3041","3152","","","","","","41878","41879","41880","",""
"36894","36882","species","Pyramimonas parkeae","1","131567","2759","","33090","3041","3152","","","","","38834","","36882","36894","",""
"36898","36882","species","Pyramimonas sp.","1","131567","2759","","33090","3041","3152","","","","","38834","","36882","36898","",""
"1461547","29646","species","Stichococcus sp. RCC1054","1","131567","2759","","33090","3041","","","","75966","","42111","","29646","1461547","",""
"1074897","3164","species","Tetraselmis astigmatica","1","131567","2759","","33090","3041","","","","1524962","","35426","35429","3164","1074897","",""
"63592","3164","species","Tetraselmis chuii","1","131567","2759","","33090","3041","","","","1524962","","35426","35429","3164","63592","",""
"582737","3164","species","Tetraselmis sp. GSL018","1","131567","2759","","33090","3041","","","","1524962","","35426","35429","3164","582737","",""
"3165","3164","species","Tetraselmis striata","1","131567","2759","","33090","3041","","","","1524962","","35426","35429","3164","3165","",""
"3067","3066","species","Volvox carteri","1","131567","2759","","33090","3041","","","","3166","","3042","3065","3066","3067","",""
"1461544","1541724","species","prasinophyte sp. RCC1871 (clade VIIA4)","1","131567","2759","","33090","3041","3152","1541723","1541724","","","","","","1461544","",""
"1075084","41875","below_species","Bathycoccus prasinos RCC1105","1","131567","2759","","33090","3041","3152","","","1035538","","13792","1525212","41874","41875","1075084",""
"574566","248742","below_species","Coccomyxa subellipsoidea C-169","1","131567","2759","","33090","3041","","","","75966","75981","","35472","41891","248742","574566",""
"564608","38833","below_species","Micromonas pusilla CCMP1545","1","131567","2759","","33090","3041","3152","","","1035538","","13792","41873","38832","38833","564608",""
"436017","242159","below_species","Ostreococcus lucimarinus CCE9901","1","131567","2759","","33090","3041","3152","","","1035538","","13792","1525212","70447","242159","436017",""
"3068","3067","forma","Volvox carteri f. nagariensis","1","131567","2759","","33090","3041","","","","3166","","3042","3065","3066","3067","","3068"
